,AREA_NA7,stop_id,pop_density,avg_monthly_shelter_rented,avg_monthly_shelter_owned,avg_value_owned,gini_after_tax,pct_rent,pct_visible_minority,pct_seniors,pct_multifam,pct_vacant,pct_before1960,pct_limat,pct_licoat,pct_mortgage,pct_owner_rent_burden,pct_owner_ichn,pct_renter_subsidized,pct_renter_rent_burden,pct_renter_ichn,pct_noncitizen,pct_public_transit
0,South Eglinton-Davisville,5226,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
1,South Eglinton-Davisville,24066,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
2,South Eglinton-Davisville,2297,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
3,South Eglinton-Davisville,24060,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
4,South Eglinton-Davisville,6665,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
5,South Eglinton-Davisville,24572,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
6,South Eglinton-Davisville,6440,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
7,South Eglinton-Davisville,2073,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
8,South Eglinton-Davisville,6569,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
9,South Eglinton-Davisville,9753,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
10,South Eglinton-Davisville,1220,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
11,South Eglinton-Davisville,1149,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
12,South Eglinton-Davisville,9693,13066.933333333334,1820.0,2489.8333333333335,1483500.0,0.39033333333333337,0.5548341531088082,0.32976328483309003,0.18641629279056735,0.7049242946992041,0.08666089180219295,0.381300692305745,0.11399999999999999,0.07883333333333334,0.5513333333333333,0.2165,0.06066666666666667,0.06266666666666666,0.45483333333333337,0.2538333333333333,0.15876417725404238,0.32174215179379145
