"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1043: 0 to 17 years","v_CA21_1046: 0 to 5 years","v_CA21_1049: 18 to 64 years","v_CA21_1052: 65 years and over","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_1088: 0 to 17 years","v_CA21_1091: 0 to 5 years","v_CA21_1094: 18 to 64 years","v_CA21_1097: 65 years and over","v_CA21_1140: Gini index on adjusted household total income","v_CA21_1141: Gini index on adjusted household market income","v_CA21_1142: Gini index on adjusted household after-tax income","v_CA21_8: Total - Age","v_CA21_251: 65 years and over","v_CA21_386: Average age","v_CA21_389: Average age"
"461","5350331.01","CT","0331.01",1.574,5545,2294,2223,"35535","","3520005","3520",5.8,7.8,6,5.3,5.4,3.8,4.8,3.6,4.2,2.2,0.324,0.427,0.28,5545,1515,47.2,49.6
"462","5350331.03","CT","0331.03",0.5097,6065,1931,1852,"35535","","3520005","3520",18.5,23.4,23.6,15.3,26.4,9.4,10,11.2,9.2,10,0.276,0.51,0.247,6065,500,33.9,32
"463","5350331.04","CT","0331.04",1.1055,3372,1400,1341,"35535","","3520005","3520",7.8,8.5,8,7.1,9.6,5.4,4.4,4,6.2,3.8,0.35,0.46,0.297,3370,820,46.4,48
"464","5350332.00","CT","0332.00",1.53,7337,2902,2761,"35535","","3520005","3520",20.1,24.7,26.8,18,22.6,12.3,13.9,16,13.3,5.8,0.358,0.563,0.312,7335,1195,40.5,40.4
"465","5350333.00","CT","0333.00",2.4472,4717,1711,1632,"35535","","3520005","3520",7.1,8.8,11,6.4,8,5.9,5.8,6,6.8,3,0.349,0.461,0.296,4715,850,42.2,43.2
"466","5350334.00","CT","0334.00",2.448,3610,1359,1285,"35535","","3520005","3520",8.4,10.4,9,8.4,5.2,5.5,5.6,3,6.3,2.4,0.384,0.468,0.328,3610,615,41.8,44.4
"467","5350335.00","CT","0335.00",2.2299,7857,3091,2960,"35535","","3520005","3520",14.2,14.6,12.8,10.9,24.3,7.9,7.8,6.4,8.3,6.6,0.316,0.477,0.28,7860,1500,42.3,43.2
"468","5350336.00","CT","0336.00",1.6111,6901,2573,2440,"35535","","3520005","3520",7.4,7.2,6,6.9,9.8,5.5,3,3.2,6.6,3.6,0.292,0.42,0.257,6900,1125,42,42.4
"469","5350337.01","CT","0337.01",0.2017,1177,630,564,"35535","","3520005","3520",19.2,27,28,17.6,18,10.8,12,8,11.6,4,0.353,0.506,0.311,1175,140,38.8,36.4
"470","5350337.02","CT","0337.02",0.6467,2008,884,841,"35535","","3520005","3520",17.4,18.5,19,16,20,11.1,12,10,12.4,6,0.403,0.549,0.352,2010,505,46.3,48.4
"471","5350338.00","CT","0338.00",1.6845,6092,2811,2679,"35535","","3520005","3520",11.5,6.8,8,12.6,12,8,3,2.8,10.4,4.4,0.376,0.47,0.323,6090,1115,43.4,45.6
"472","5350339.00","CT","0339.00",1.8174,6937,3257,3093,"35535","","3520005","3520",7.4,5.4,4.5,7.3,9.8,4.7,2.6,2.5,5.7,3.7,0.447,0.518,0.376,6935,1495,44.4,46.8
"473","5350340.00","CT","0340.00",1.2679,6931,2577,2456,"35535","","3520005","3520",15.8,23.4,25.2,13.8,12.6,10.1,12.3,13.2,10.4,4.8,0.34,0.5,0.3,6935,860,38.2,37.6
"474","5350341.02","CT","0341.02",0.8044,4576,1924,1791,"35535","","3520005","3520",16.7,18.8,16,13,28.2,10.2,8.4,8,11,9.6,0.308,0.505,0.273,4575,985,44,43.2
"475","5350341.03","CT","0341.03",0.4,3185,1238,1165,"35535","","3520005","3520",34.6,38.6,41,30.5,56,17.1,16,18,17.4,19,0.264,0.589,0.242,3185,200,33.3,33.6
"476","5350341.04","CT","0341.04",0.671,6152,2493,2359,"35535","","3520005","3520",20.3,22.6,22.8,18.2,28,13.2,10.4,10.8,14.6,10,0.31,0.532,0.278,6155,700,37.7,36.4
"477","5350342.00","CT","0342.00",1.2368,7329,2438,2368,"35535","","3520005","3520",10.3,15,16,8.5,12.4,6.1,6.1,8,6.4,4.4,0.28,0.425,0.249,7330,930,39.4,39.2
"478","5350343.00","CT","0343.00",1.1126,4260,1650,1549,"35535","","3520005","3520",14.8,22.8,26,12.2,15.8,9.4,12,14,9.8,5.2,0.293,0.461,0.264,4260,725,41.5,41.2
"479","5350344.01","CT","0344.01",1.0624,5183,1973,1841,"35535","","3520005","3520",13.5,12.6,14.4,9.8,26.4,9.1,6.4,7.2,10.5,6.6,0.278,0.441,0.253,5185,990,42.5,41.6
"480","5350344.02","CT","0344.02",0.2228,3301,1842,1773,"35535","","3520005","3520",31.9,33.6,33,30.4,35.2,17.9,17.2,14,21.3,8.4,0.33,0.581,0.297,3305,690,45.2,49.2
"481","5350345.00","CT","0345.00",0.7893,4042,1449,1360,"35535","","3520005","3520",10.1,14,12,8.7,11.6,7.6,8.8,7,8.2,4,0.278,0.418,0.251,4040,650,41.4,41.2
"482","5350346.01","CT","0346.01",1.5133,4630,1707,1612,"35535","","3520005","3520",16.2,22.2,21,13.3,20.8,9.2,9.2,11,9.6,6.8,0.292,0.474,0.261,4630,575,38.3,38
"483","5350346.02","CT","0346.02",0.4,5323,2030,1959,"35535","","3520005","3520",13.5,16.2,16,10.4,25.8,6.8,7,6.8,7.1,5.2,0.265,0.42,0.239,5325,640,37.9,37.2
"484","5350347.00","CT","0347.00",1.4992,3390,1109,1080,"35535","","3520005","3520",8.2,13.4,12,6.8,7.2,5,4.8,4,5.7,2,0.268,0.374,0.24,3390,355,37.7,37.2
"485","5350348.00","CT","0348.00",2.3159,5780,2020,1947,"35535","","3520005","3520",6.6,8.4,7.6,6.3,6.2,4.5,3,1.6,5.4,2.4,0.271,0.381,0.24,5780,1350,45.7,46
"486","5350349.00","CT","0349.00",0.8762,5633,2350,2220,"35535","","3520005","3520",15.1,18.2,22.8,13.1,20.8,9.7,10.8,14,10.1,6,0.296,0.471,0.265,5630,775,39.9,39.2
"487","5350350.00","CT","0350.00",3.361,5228,2046,1944,"35535","","3520005","3520",12.3,15.2,14,10.4,16,8.5,7.6,9.5,10,4.4,0.302,0.446,0.27,5230,1020,43,43.6
"488","5350351.01","CT","0351.01",0.9749,5376,2119,1993,"35535","","3520005","3520",14,18,21,11.9,17,8.6,8.4,10,9.6,5.4,0.29,0.451,0.262,5380,990,41.5,40
